index,id, MLS, Price, Latitude, Longitude, LandSize, SizeInterior, Bedrooms, Bathrooms,
20,24792772,202220516,25000,46.1881004,-60.0161189, 1 - 3 acres,0, 4 + 0,1, 
21,25009000, SK911824,25000,49.265897,-102.279189, 6000 sqft, 658 sqft,0,0, 
22,24346552, SK892989,25000,50.862119,-109.268442, 6000 sqft, 893 sqft,4,2, 
23,24968960, A2006174,25000,52.31686475,-110.4487944, 556 m2|4051 - 7250 sqft, 1736 sqft, 5 + 0,2, 
24,25031755, SK912371,25000,52.328547,-104.496713, 0.14 ac, 592 sqft,1,1, 
25,24978864, E4317349,25000,53.82014008,-114.6797504, 728.43 m2, 110.2 m2,1,0, 
26,25022334, SK911874,25900,51.959569,-102.67591, 9375 sqft, 624 sqft,1,1, 
27,25000645, SK911645,26000,50.450936,-104.59941, 3123 sqft, 971 sqft,3,2, 
28,24287086, M141676,27000,46.601942,-64.907416, N/A|Unknown, 1500 sqft,3,2, 
29,24836509,1249324,27500,47.716193,-53.972737, Under 0.5 acres|under 1/2 acre, 1060 sqft,5,2, 
30,24918681, E4315118,27500,53.66223331,-111.2311331,0, 59.45 m2,1,1, 
31,24943433, SK910319,27900,50.454323,-104.625156, 3129 sqft, 560 sqft,2,1, 
32,24734340,202218975,27900,51.23354,-101.35241, Unknown, 540 sqft,1,1, 
33,25008660, SK911817,27999,50.197472,-103.13554, 62500 sqft, 572 sqft,1,1, 
34,24908520,1250200,28000,47.81448,-53.43926, 214 SM|0-4050 sqft, 704 sqft,1,1, 
35,24801683,1249155,28000,48.783676,-58.084941, Trailer Lot - Leased|0-4050 sqft, 360 sqft,2,1, 
36,25043984,202226087,28000,49.323252,-100.842027, Unknown, 1200 sqft,3,1, 
37,25027391, SK912273,28900,50.457136,-104.628589, 4684 sqft, 677 sqft,2,1, 
38,24443259,202211449,28900,50.565426,-100.580515, Unknown, 918 sqft,2,1, 
39,24880182, NB079333,29000,47.822815,-64.6817, 660 m2,1200, 3 + 0,1, 
40,25036354, NB081755,29000,46.178125,-65.876849, 0.39 ac,778, 2 + 0,1, 
41,25021486, A2009328,29000,52.91807038,-112.4666701, 4500 sqft|4051 - 7250 sqft, 1472 sqft, 1 + 0,1, 
42,24627279,202215891,29000,50.433773,-100.589245, Unknown, 800 sqft,1,1, 
43,24691552, SK903471,29500,50.830465,-108.038852, 6000 sqft, 606 sqft,2,1, 
44,24819542,1249366,29900,47.780714,-53.47119, (1/4 - 1/2 ac)|10890 - 21799 sqft (1/4 - 1/2 ac), 1392 sqft,3,1, 
45,24981397, NB081247,29900,48.01854,-66.42052, 697 m2,1118, 0 + 0,1, 
46,24652318,1247284,29900,47.955698,-53.327928, Under .5 acres|under 1/2 acre, 1050 sqft,3,1, 
47,24980320,12641923,29900,48.60384241,-79.40726294, 1351.6 m2, 1092 sqft,4,2, 
48,24738818,13057317,29900,49.13590776,-68.37004588, 465.2 m2,0,3,0, 
49,24408473,40259522,29900,45.31619137,-79.0632314, 49.5 ac|25 - 50 acres,561, 2 + 0,1, 
50,24973289, NB081214,29900,46.586212,-66.15045, 3088 m2,714, 2 + 0,0, 
51,25015436, SK911937,29900,52.771149,-108.291985, 6000 sqft, 684 sqft,2,1, 
52,24652318,1247284,29900,47.955698,-53.327928, Under .5 acres|under 1/2 acre, 1050 sqft,3,1, 
53,24981397, NB081247,29900,48.01854,-66.42052, 697 m2,1118, 0 + 0,1, 
54,24840555,202221497,29900,51.059411,-99.515186, 110 x 175, 1456 sqft,3,2, 
55,24973289, NB081214,29900,46.586212,-66.15045, 3088 m2,714, 2 + 0,0, 
56,24837767, NB078811,30000,45.377357,-66.770327, 1 ac,432, 1 + 0,0, 
57,24793567, SK906309,30000,49.388107,-101.873551, 6325 sqft, 545 sqft,1,1, 
58,24171931, M141119,30500,46.729858,-65.421893, 882 Metric|under 1/2 acre, 975 sqft,3,1, 
59,24638722, SK902009,31000,51.22502,-109.389072, 6250 sqft, 1781 sqft,5,1, 
60,25000650, SK911627,31500,50.467275,-104.62659, 3127 sqft, 600 sqft,2,1, 
61,23882474, SK878742,31900,49.002095,-102.546572, 12500 sqft, 864 sqft,2,1, 
62,24042874, SK884730,32000,49.209779,-108.386538, 6300 sqft, 933 sqft,4,2, 
63,24377269, SK893884,32000,50.062739,-108.789384, 12200 sqft, 144 sqft,0,0, 
64,24134274, SK887659,32300,50.842333,-101.706618, 6000 sqft, 784 sqft,2,1, 
65,24658681, SK902595,32900,49.175909,-101.449313, 3960 sqft, 660 sqft,2,1, 
66,24827516, SK907088,33000,51.563016,-101.891988, 12207 sqft, 876 sqft,2,1, 
67,24861137, NB079083,33000,45.80916,-65.50809,0,775, 2 + 0,1, 
68,24639543, SK902063,33000,52.440404,-109.156401, 7000 sqft, 1056 sqft,2,1, 
69,24804680,202220590,33500,50.140989,-101.029492, Unknown, 882 sqft,2,1, 
70,24871762, SK908503,34500,52.169247,-109.510497, 5750 sqft, 1076 sqft,3,1, 
71,24420540, SK894881,34900,49.175245,-101.625265, 12000 sqft, 1088 sqft,3,1, 
72,24434474, SK895373,34900,49.669362,-107.002206, 5980 sqft, 864 sqft,2,1, 
73,24865174, NB079133,34900,46.63849,-64.76625, 2 ac,1300, 3 + 0,1, 
74,24485957, NB073523,34900,47.678074,-65.69278,0,710, 2 + 0,1, 
75,24776968,1248854,34900,48.005619,-53.749481, 104 x 111 Approx|.5 - 9.99 acres, 1200 sqft,3,1, 
76,24889606, SK908891,34900,52.708866,-107.559981, 25000 sqft, 784 sqft,2,1, 
77,24427859,40262472,34900,45.31786091,-79.06282744, 49.5 ac|25 - 50 acres,562, 2 + 0,1, 
78,23763852,202125726,34900,51.225257,-101.351362, Unknown, 720 sqft,2,1, 
79,25001835,202224775,35000,44.67609,-64.24267508, under 1/2 acre,0, 1 + 0,0, 
80,24575634,25437244,35000,48.68815572,-79.40347195, 32657 sqft,0,1,1, 
81,24798993, SK906507,35000,51.711238,-109.244209, 7000 sqft, 728 sqft,3,1, 
82,25048724, SK913742,35000,51.646405,-103.533748, 6000 sqft, 780 sqft,2,1, 
83,24651321, SK902430,35000,50.060583,-108.792126, 12200 sqft, 460 sqft,1,1, 
84,24711185,5153,35000,69.44423,-133.037517,8229, 1600 sqft,3,1, 
85,24838856, SK907454,35000,52.861037,-102.387858, 6000 sqft, 514 sqft,2,1, 
86,24941638,202224244,35000,51.15104,-100.49049, Unknown, 889 sqft,3,1, 
87,24939357, SK910144,35000,50.376036,-102.574015,0, 1134 sqft,3,1, 
88,24591987,14013686,35000,45.45793238,-72.65064205,0, 360 sqft,0,1, 
89,24772725, M146611,35000,45.794546,-64.989307, 4937 SQM|1 - 3 acres, 178 sqft,0,0, 
90,24447639,40264447,35900,45.31619137,-79.0632314, 49.5 ac|25 - 50 acres,561, 2 + 0,1, 
91,25008274, SK911807,36000,50.460564,-104.622823, 3125 sqft, 631 sqft,2,1, 
92,25043583, SK913520,36000,50.460657,-104.620765, 3125 sqft, 840 sqft,2,1, 
93,24942628, SK910274,36000,50.454225,-104.620847, 3130 sqft, 677 sqft,2,1, 
94,24893841, NB079455,36000,45.174945,-67.30024, 0.44 ac,1050, 3 + 0,1, 
95,24645707,202216551,36000,50.982087,-99.664062, Unknown, 704 sqft,2,1, 
96,24777071, A1251865,36000,55.779015,-118.832707, 7000 sqft|4051 - 7250 sqft, 530 sqft, 1 + 0,1, 
97,24991309,202225394,36500,49.854174,-100.936837, 5850 sqft, 600 sqft,2,1, 
98,24844164, SK907870,36900,50.38487,-105.53846, 6200 sqft, 860 sqft,0,0, 
99,24865133, NB079136,37000,48.06247,-66.37103, 620 m2,1000, 1 + 0,2, 
100,24801598,1249097,37000,47.649465,-53.209069, 10258 sq ft|7251 - 10889 sqft, 865 sqft,1,1, 
101,24813516, SK906863,37500,50.460103,-104.636733, 3125 sqft, 740 sqft,2,1, 
102,24892266, SK909024,37800,50.46702,-104.630061, 3127 sqft, 714 sqft,2,1, 
103,24527010, SK898872,38000,50.459442,-104.628186, 3126 sqft, 714 sqft,2,1, 
104,24981760,15977021,38000,49.75906,-77.630843, 325.2 m2, 908.47 sqft,5,2, 
105,24666410, SK902577,38000,53.56622,-105.881561, 1680 sqft, 400 sqft,2,1, 
106,24341335, SK892808,38000,49.389508,-101.597417, 5750 sqft, 720 sqft,2,1, 
107,24865175, NB079132,38000,48.00168,-66.65408, 465 m2,600, 3 + 0,1, 
108,24688059, SK903385,38600,50.830423,-108.040213, 6000 sqft, 892 sqft,2,1, 
109,24786146, SK906159,38800,50.459182,-104.632495, 4693 sqft, 792 sqft,2,1, 
110,24884148,202222895,38900,50.73589,-101.019841, Unknown, 1100 sqft,3,1, 
111,24935022, SK910090,39000,49.66982,-107.00107, 0.27 ac, 1124 sqft,6,1, 
112,24723634,202218543,39000,49.845319,-100.935835, Unknown, 773 sqft,2,1, 
113,23217226, A1109149,39000,55.709009,-116.90058, 10000 sqft|7251 - 10889 sqft, 912 sqft, 2 + 0,1, 
114,24999295, SK911591,39000,50.37722,-102.578819, 6250 sqft, 616 sqft,2,1, 
115,24163216, SK887813,39000,51.920681,-109.140473, 13500 sqft, 560 sqft,2,2, 
116,24498387, SK898155,39000,51.565521,-101.891488, 6500 sqft, 778 sqft,3,1, 
117,24193868, SK889071,39000,51.148822,-108.758335, 6250 sqft, 675 sqft,2,1, 
118,24553071,202214164,39500,49.67634,-100.71267, 62 x 100, 570 sqft,1,1, 
119,24880180,1249846,39500,48.014067,-53.258425, 120x200|21780 - 32669 sqft (1/2 - 3/4 ac), 1708 sqft, 2 + 1,1, 
120,24805048, SK906654,39800,51.634319,-102.4415, 6000 sqft, 676 sqft,2,1, 
121,24493926,1245572,39900,49.614532,-54.565156, 100x100|10890 - 21799 sqft (1/4 - 1/2 ac), 975 sqft,3,1, 
122,24579442, SK900417,39900,49.632553,-105.988782, 5750 sqft, 440 sqft,1,1, 
123,24880217, SK908731,39900,50.457463,-104.640869, 3749 sqft, 700 sqft,2,1, 
124,24735851, SK904540,39900,50.460156,-104.623958, 4689 sqft, 780 sqft,2,1, 
125,24902157, SK909267,39900,50.219279,-103.445399, 8375 sqft, 3161 sqft,4,2, 
126,24981831,202225189,39900,50.25222,-99.84497, 10980 sqft, 930 sqft,3,1, 
127,24972580, SK910921,39900,52.415486,-104.499141, 5716 sqft, 720 sqft,2,1, 
128,25050362, SK913668,39900,52.772955,-108.28404, 6000 sqft, 581 sqft,1,1, 
129,24824613, SK907265,39900,51.71783,-105.433558, 4400 sqft, 432 sqft,1,1, 
130,24711729, SK904049,39900,51.715381,-105.426648, 5350 sqft, 1488 sqft,0,0, 
131,24824167, SK907196,39900,52.861298,-102.392476, 120 sqft, 900 sqft,2,1, 
132,24843539, SK907848,39900,51.152449,-108.609006, 0.85 ac, 914 sqft,0,0, 
133,24980697, SK911203,39900,50.461018,-104.62707, 3118 sqft, 892 sqft,2,1, 
134,24922383, SK909770,39900,50.396315,-105.516839, 50x167, 674 sqft,3,1, 
135,24975398, SK911043,39900,50.833056,-108.035164, 75x1209000, 1246 sqft,6,2, 
136,25054198,202225871,39900,43.864313,-65.938462, 1 - 3 acres,0, 2 + 0,1, 
137,24925249, M147422,39900,46.506316,-65.087357, 1951 sqft|under 1/2 acre, 340 sqft,1,1, 
138,24610215, NB075091,39900,45.469407,-66.419441,0,952, 2 + 0,1, 
139,24931345,1250486,39900,47.757309,-53.988025, 52 x 80 Approx|under 1/2 acre, 1450 sqft,3,2, 
140,25043361,1252802,39900,47.416893,-53.527171, 30x40 approx.|under 1/2 acre, 1200 sqft,2,2, 
141,24996196, NB081437,39900,45.963703,-66.515733,0,882, 3 + 0,1, 
142,24915398, SK909597,40000,50.045502,-108.649874, 6000 sqft, 864 sqft,1,1, 
143,23591225,26459125,40000,49.914573,-74.354729, 7080 sqft,0,1,1, 
144,24298492, SK891742,40000,50.735676,-108.760895, 6000 sqft, 780 sqft,3,1, 
145,24907918, SK909241,40000,51.985651,-106.060977, 12000 sqft, 1250 sqft,3,1, 
146,24986602, SK911325,40000,51.264281,-103.737104, 11550 sqft, 636 sqft,2,1, 
147,24093823, SK885682,40000,49.647659,-108.403967, 4800 sqft, 624 sqft,2,1, 
148,24564721,1246359,40000,47.690388,-53.22733, 30x60|Unknown, 1120 sqft,2,2, 
149,25051591, NB081929,40000,47.304762,-68.132079, 1650 m2,1256, 3 + 0,3, 
150,24841071, SK907754,41000,50.453884,-104.626719, 3127 sqft, 592 sqft,2,1, 
151,24841073, SK907744,41000,50.457193,-104.6269, 4166 sqft, 934 sqft,2,1, 
152,24841076, SK907733,41000,50.463341,-104.631232, 4993 sqft, 814 sqft,2,1, 
153,24724446, SK904454,42000,50.878959,-107.378526, 7632 sqft, 742 sqft,2,1, 
154,25038876, SK913524,42000,51.770725,-104.179125, 50x115, 616 sqft,2,1, 
155,24784672, E4309778,42000,53.36932063,-112.6641957,0, 119.6 m2,3,1, 
156,24962110, NB081099,42500,47.166333,-67.921409, 0.11 ac,442, 1 + 0,1, 
157,25020337,202225150,42500,44.41236262,-65.9976784, under 1/2 acre,0, 0 + 0,0, 
158,24931799,202224049,42500,49.556852,-101.095881, Unknown, 1020 sqft,2,1, 
159,23954850, SK881778,42500,49.876507,-106.559883, 25.2x120.85, 880 sqft,2,1, 
160,24444195,202211474,42900,49.44687,-100.273555, 85 x 200, 689 sqft,2,1, 
161,25011339, NB081556,42900,45.950531,-65.940877, 0.5 ac,684, 3 + 0,1, 
162,23773921, A1156806,42900,53.39239,-110.540535, 7894 sqft|7251 - 10889 sqft, 1374 sqft, 1 + 2,2, 
163,25045432, SK913674,42900,52.864926,-104.329267, 12000 sqft, 907 sqft,2,1, 
164,24498324, SK898150,43000,51.952833,-102.663906, 14000 sqft, 596 sqft,1,1, 
165,25012809, SK911903,43000,51.561943,-101.895995, 7050 sqft, 712 sqft,2,1, 
166,23917044, SK880735,43000,50.844846,-101.702703, 0.23 ac, 760 sqft,2,1, 
167,25013792, SK911918,44000,50.458572,-104.624046, 3124 sqft, 714 sqft,2,1, 
168,25027177, SK912230,44000,50.457078,-104.626564, 3248 sqft, 1057 sqft,3,1, 
169,24393711, SK894234,44000,49.745872,-107.49099, 6000 sqft, 997 sqft,0,0, 
170,24851371, SK908002,44500,52.193239,-105.124342, 50x130.0, 759 sqft,2,1, 
171,24941878,1250672,44700,49.662218,-54.744454, 80x80|7251 - 10889 sqft, 930 sqft,3,1, 
172,24342601, SK892840,44900,50.461219,-104.628007, 3119 sqft, 684 sqft,2,1, 
173,24342765, SK892858,44900,50.456631,-104.630942, 3128 sqft, 924 sqft,4,1, 
174,25023229,13106400,44900,46.72303329,-79.09964653, 103.7 m2,0,1,1, 
175,24934964,202224142,44900,50.863936,-98.101498, Unknown, 996 sqft,3,1, 
176,24858209, SK908220,44900,50.944173,-104.213178, 75x150, 672 sqft,2,1, 
177,24465894,202211719,44900,49.103537,-96.267247, Unknown, 1265 sqft,3,1, 
178,24820760,40316461,44900,51.26721283,-80.64814379, under 1/2 acre,0, 3 + 0,0, 
179,24913269, NB080597,44900,47.146344,-67.77481, 3403 m2,800, 0 + 0,0, 
180,24044545, SK884749,44900,51.04563,-105.81914, 6550 sqft, 668 sqft,1,1, 
181,24566195, SK900019,45000,51.04565,-105.82157, 6590.86 sqft, 776 sqft,2,2, 
182,24980698, SK911198,45000,51.04798,-105.82181, 6590.76 sqft, 730 sqft,2,2, 
183,24538875, SK899240,45000,49.144064,-103.010509, 6000 sqft, 900 sqft,3,2, 
184,22049847, NB045318,45000,47.732794,-64.843608, 520 m2,820, 2 + 0,1, 
185,24990923, SK911418,45000,51.427835,-102.920758, 12000 sqft, 616 sqft,1,1, 
186,24429332, SK895232,45000,51.566751,-101.894534, 6500 sqft, 830 sqft,3,1, 
187,24961638, NB080504,45000,47.811159,-64.54561, 0.33 ac,924, 3 + 0,1, 
188,24377570, SK893897,45000,52.15965,-103.52632, 6750 sqft, 720 sqft,2,1, 
189,24019040, SK884185,45000,52.47967,-105.307693, 64x150, 920 sqft,2,1, 
190,25017413,25583201,45000,45.757468,-74.614026, 45802 sqft,0,1,1, 
191,24236391, SK890179,45000,50.735956,-108.757784, 8625 sqft, 1104 sqft,3,1, 
192,23855113, A1163829,45000,53.655763,-110.965096, 19440 sqft|10890 - 21799 sqft (1/4 - 1/2 ac), 640 sqft, 2 + 1,1, 
193,24335890, SK892551,45000,50.430971,-107.223625, 50x120, 1078 sqft,2,1, 
194,25041832,202225580,45000,46.21092718,-60.26262974, under 1/2 acre,0, 1 + 0,1, 
195,24934277, A2003922,45000,55.73667253,-117.2041871, 7500 sqft|7251 - 10889 sqft, 1275 sqft, 3 + 0,3, 
196,24815597, SK906813,45000,49.645961,-108.402847, 3000 sqft, 640 sqft,1,1, 
197,22403417, N227294,45000,55.33564,-123.1, 8858.7 sqft,0,0,0, 
198,22403429, N227309,45000,55.33671,-123.0987, 9924.33 sqft,0,0,0, 
199,22403430, N227310,45000,55.33625,-123.0994, 9945.85 sqft,0,0,0, 
200,24572551, SK900082,45000,49.648852,-108.403808, 7200 sqft, 816 sqft,2,1, 
201,24839990,202221831,45000,49.599244,-99.862458, Unknown, 627 sqft,2,1, 
202,24572551, SK900082,45000,49.648852,-108.403808, 7200 sqft, 816 sqft,2,1, 
203,24773118, E4309381,45725,56.55231378,-115.2628285,0, 302.34 m2,9,10, 
204,24801015, SK906584,46666,49.629809,-105.993282, 5750 sqft, 816 sqft,2,1, 
205,24671232, A1240113,46900,52.866865,-112.260931, 5500 sqft|4051 - 7250 sqft, 426 sqft, 1 + 0,1, 
206,24423287, SK895066,46900,50.458899,-104.621313, 3127 sqft, 894 sqft,2,1, 
207,24777157, SK905925,47000,49.209214,-108.385966, 6000 sqft, 1267 sqft,1,1, 
208,25016226,1252515,47000,46.735716,-53.367995, 1.4000|1 - 3 acres, 512 sqft,0,0, 
209,23846498, SK877828,47000,51.921653,-109.13815, 6000 sqft, 650 sqft,1,1, 
210,24660375,28824315,47500,45.9233967,-73.81611404, 20287.39 sqft,0,2,1, 
211,24497741,18265430,47500,45.79694445,-76.02650838, 909.3 m2,0,3,1, 
212,22403416, N227293,47500,55.33632,-123.0996, 9235.44 sqft,0,0,0, 
213,24927054,26728142,47800,46.36579902,-73.058426, 1252 m2,0,0,0, 
214,24491399, SK897961,48000,49.174266,-101.628747, 12000 sqft, 798 sqft,3,1, 
215,25019916,22390227,48000,46.69577847,-70.00218253, 5872 sqft, 1050 sqft,3,1, 
216,24538898, SK899208,48500,49.420049,-107.082011, 150x120, 1024 sqft,2,1, 
217,24838162, SK907636,48500,49.906268,-102.023713, 5280 sqft, 1002 sqft,2,1, 
218,24739944, NB077600,48900,45.29148,-66.066355, 13099 sqft,660, 0 + 0,0, 
219,25008030,14354932,49000,47.51678902,-72.69472126, 1522.6 m2, 580 sqft,1,1, 
220,24889971,26831427,49000,47.389528,-78.700917, 510.97 m2, 1665.18 sqft,5,2, 
221,24663407, SK902619,49000,49.003468,-102.547675, 5750 sqft, 969 sqft,2,1, 
222,24954523,14258963,49000,45.67822676,-76.62111188, 756.1 m2, 1452 sqft,3,1, 
223,24705233,202218165,49000,49.270008,-100.995708, 50 x 120, 625 sqft,2,1, 
224,24976978,17968121,49000,48.83826346,-67.3376725, 5625 sqft,0,1,0, 
225,24785759,18177263,49000,46.628861,-70.184922, 3000.8 m2,0,3,1, 
226,24842339, NB078598,49000,46.4536,-67.37838, 20 ac,0, 0 + 0,0, 
227,24886779,20058205,49000,46.06176039,-74.18056081, 914.2 m2,0,0,0, 
228,24080758,202203055,49000,46.2056091,-60.2560798, under 1/2 acre,0, 2 + 0,0, 
229,24699767, E4306275,49000,53.10469907,-114.8544465, 0.47 ac, 141 m2,2,1, 
230,24704574, A1242848,49000,53.10468436,-114.854382, 1902.02 m2|10890 - 21799 sqft (1/4 - 1/2 ac), 1520 sqft, 2 + 0,1, 
231,24871025, SK908508,49000,53.364692,-107.520867, 6250 sqft, 580 sqft,1,1, 
232,24273714, SK891212,49000,52.204714,-105.130476, 50x131, 732 sqft,2,1, 
233,24777375, SK905621,49000,52.080882,-109.386194, 6500 sqft, 768 sqft,3,2, 
234,24598676, SK900621,49000,51.91791,-109.13287, 12000 sqft, 1008 sqft,3,1, 
235,23998906,202202738,49000,50.365368,-99.815852, 13000 sqft, 988 sqft,3,1, 
236,24605596, SK901131,49000,49.904853,-102.024642, 50x120, 1160 sqft,3,1, 
237,23950560, SK881694,49000,50.063058,-108.796383, 4625 sqft, 913 sqft,2,1, 
238,24977978, SK911088,49000,49.644594,-104.659514, 5750 sqft, 800 sqft,2,1, 
239,24356079, SK893270,49500,50.378012,-102.584831, 150x135, 966 sqft,3,1, 
240,25032068, A2010015,49800,53.95271692,-115.1401763, 8400 sqft|7251 - 10889 sqft, 836 sqft, 3 + 0,1, 
241,24641984,1247212,49900,46.893516,-53.597908, 72'x136'x50'x111', 1410 sqft,4,1, 
242,24961695,1251886,49900,47.698048,-53.479083, APP. 100' BY 75.|7251 - 10889 sqft, 1056 sqft,2,1, 
243,24977298, NB081236,49900,47.58631,-65.76046, 1672 m2,710, 1 + 0,1, 
244,25051069, NB081821,49900,45.837369,-66.566918,0,768, 2 + 0,1, 
245,24627965,18415501,49900,45.664613,-75.457475, 10104.08 sqft, 726.56 sqft,2,0, 
246,24904163,202223384,49900,49.270097,-100.99443, Unknown, 1200 sqft,3,1, 
247,24804390, SK906656,49900,49.230215,-102.174227, 8625 sqft, 772 sqft,3,1, 
248,24838156, SK907678,49900,49.207532,-102.014472, 0.21 ac, 660 sqft,2,1, 
249,24965618,27194735,49900,45.96841626,-73.89329683, 418.1 m2,0,3,1, 
250,24880953, NB079341,49900,46.266333,-66.598869, 3689 m2,1200, 3 + 0,1, 
251,24173993, X5544938,49900,52.75129512,-113.0813693, 100 x 189 FT,0,0,0, 
252,24707575, SK903900,49900,52.846774,-104.051892,0, 611 sqft,2,1, 
253,24519610, SK898652,49900,51.565782,-101.90197, 0.13 ac, 752 sqft,2,1, 
254,24526231, SK898973,49900,51.636204,-102.436749, 5760 sqft, 1973 sqft,4,1, 
255,23876380, SK878477,49900,51.858166,-101.92331, 60390 sqft, 816 sqft,2,1, 
256,24011040,202202978,49900,52.104547,-101.267538, 6500 sqft, 1232 sqft,2,2, 
257,24052364,40212709,49900,51.25211418,-80.61158785, under 1/2 acre,950, 3 + 0,1, 
258,24053032,40212377,49900,51.2532159,-80.6129522, under 1/2 acre,950, 3 + 0,1, 
259,24053592, X5507038,49900,51.25212416,-80.61157392, 80 x 180 FT,0,3,1, 
260,24133493, SK884520,49900,52.067396,-107.427962, 17500 sqft, 540 sqft,2,1, 
261,25060509, SK913950,49900,50.459041,-104.625713, 3127 sqft, 671 sqft,3,2, 
262,24844648, SK907877,49900,50.802625,-106.152562, 5736.61 sqft, 1256 sqft,3,2, 
263,24521182,23010331,49900,46.240309,-70.330011, 36282 sqft, 336 sqft,0,1, 
264,24880953, NB079341,49900,46.266333,-66.598869, 3689 m2,1200, 3 + 0,1, 
265,24641984,1247212,49900,46.893516,-53.597908, 72'x136'x50'x111', 1410 sqft,4,1, 
266,24804390, SK906656,49900,49.230215,-102.174227, 8625 sqft, 772 sqft,3,1, 
267,24838156, SK907678,49900,49.207532,-102.014472, 0.21 ac, 660 sqft,2,1, 
268,24904163,202223384,49900,49.270097,-100.99443, Unknown, 1200 sqft,3,1, 
269,24961695,1251886,49900,47.698048,-53.479083, APP. 100' BY 75.|7251 - 10889 sqft, 1056 sqft,2,1, 
270,24977298, NB081236,49900,47.58631,-65.76046, 1672 m2,710, 1 + 0,1, 
271,24627965,18415501,49900,45.664613,-75.457475, 10104.08 sqft, 726.56 sqft,2,0, 
272,25051069, NB081821,49900,45.837369,-66.566918,0,768, 2 + 0,1, 
273,24965618,27194735,49900,45.96841626,-73.89329683, 418.1 m2,0,3,1, 
274,24907980, A2002501,49999,52.4626781,-113.1151927, 12000 sqft|10890 - 21799 sqft (1/4 - 1/2 ac), 626 sqft, 1 + 0,1, 
275,24716861, SK904198,50000,50.372427,-102.575313, 6250 sqft, 990 sqft,3,1, 
276,25001914, E4318129,50000,54.26893938,-110.73423, 649.39 m2, 110.52 m2,3,1, 
277,24930403, A1259532,50000,54.373933,-113.453887, 25000 sqft|21780 - 32669 sqft (1/2 - 3/4 ac), 1348 sqft, 2 + 0,1, 
278,24302452,193828,50000,55.754753,-120.227521, 0.124 ac|under 1 acre, 963 sqft,2,0, 
279,24867800, A1257036,50000,55.782388,-117.883682, 464 m2|4051 - 7250 sqft, 768 sqft, 2 + 1,1, 
280,24878904, SK908692,50000,52.775226,-108.28468, 6000 sqft, 774 sqft,2,1, 
281,24979679, E4317387,50000,53.88837379,-114.898855, 566.56 m2, 57.6 m2,1,1, 
282,24528017, SK899024,50000,51.31134,-104.994088, 9000 sqft, 927 sqft,3,2, 
283,25056885, SK913910,50000,51.314087,-103.984741, 6.77 ac, 2339 sqft,4,3, 
284,24671848, A1239841,50000,52.012552,-110.776305, 11500 sqft|10890 - 21799 sqft (1/4 - 1/2 ac), 960 sqft, 2 + 1,2, 
285,24761656,1248679,50000,46.736895,-53.362714, One acre|1 - 3 acres, 4320 sqft,4,3, 
286,24740059, NB077661,50000,46.14928,-67.21748, 5995 m2,1200, 3 + 0,1, 
287,24817557, SK907030,50000,49.3892,-105.631723, 21632 sqft, 862 sqft,2,1, 
288,24919669, SK909698,50000,49.514594,-108.816773, 6050 sqft, 774 sqft,2,1, 
289,24908412, SK909386,50000,49.173442,-101.792726, 6000 sqft, 672 sqft,2,2, 
290,24711475, NB077292,50000,47.646623,-67.355276, 535 m2,1012, 3 + 0,2, 
291,22954865,202106115,50000,49.096828,-100.804067, 66 x 300, 1120 sqft,3,1, 
